,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,gov_raw_county_vote_totals_two_party
1566,2018.0,1065.0,G,GOV,Republican Open Seat,4206.0,2361.0,6567.0
1610,2002.0,1067.0,G,GOV,Democratic Incumbent,2684.0,2750.0,5434.0
1611,2006.0,1067.0,G,GOV,Republican Incumbent,2706.0,3075.0,5781.0
1612,2010.0,1067.0,G,GOV,Republican Open Seat,3522.0,3286.0,6808.0
1613,2014.0,1067.0,G,GOV,Republican Incumbent,1780.0,3333.0,5113.0
1614,2018.0,1067.0,G,GOV,Republican Open Seat,2045.0,4655.0,6700.0
1639,2002.0,1069.0,G,GOV,Democratic Incumbent,9018.0,16183.0,25201.0
1640,2006.0,1069.0,G,GOV,Republican Incumbent,9705.0,16253.0,25958.0
1641,2010.0,1069.0,G,GOV,Republican Open Seat,15724.0,17057.0,32781.0
1642,2014.0,1069.0,G,GOV,Republican Incumbent,6257.0,17302.0,23559.0
1643,2018.0,1069.0,G,GOV,Republican Open Seat,9062.0,23112.0,32174.0
1687,2002.0,1071.0,G,GOV,Democratic Incumbent,7007.0,5216.0,12223.0
1688,2006.0,1071.0,G,GOV,Republican Incumbent,6077.0,6515.0,12592.0
1689,2010.0,1071.0,G,GOV,Republican Open Seat,6794.0,8606.0,15400.0
1690,2014.0,1071.0,G,GOV,Republican Incumbent,3234.0,8258.0,11492.0
1691,2018.0,1071.0,G,GOV,Republican Open Seat,3569.0,12074.0,15643.0
1735,2002.0,1073.0,G,GOV,Democratic Incumbent,119918.0,92079.0,211997.0
1736,2006.0,1073.0,G,GOV,Republican Incumbent,84137.0,93132.0,177269.0
1737,2010.0,1073.0,G,GOV,Republican Open Seat,106959.0,103802.0,210761.0
1738,2014.0,1073.0,G,GOV,Republican Incumbent,82865.0,83147.0,166012.0
1739,2018.0,1073.0,G,GOV,Republican Open Seat,152103.0,105661.0,257764.0
1777,2002.0,1075.0,G,GOV,Democratic Incumbent,2908.0,2826.0,5734.0
1778,2006.0,1075.0,G,GOV,Republican Incumbent,2429.0,2336.0,4765.0
1779,2010.0,1075.0,G,GOV,Republican Open Seat,1580.0,3369.0,4949.0
1780,2014.0,1075.0,G,GOV,Republican Incumbent,1249.0,3157.0,4406.0
1781,2018.0,1075.0,G,GOV,Republican Open Seat,974.0,4399.0,5373.0
1825,2002.0,1077.0,G,GOV,Democratic Incumbent,13054.0,12586.0,25640.0
1826,2006.0,1077.0,G,GOV,Republican Incumbent,10831.0,13943.0,24774.0
1827,2010.0,1077.0,G,GOV,Republican Open Seat,10849.0,17074.0,27923.0
1828,2014.0,1077.0,G,GOV,Republican Incumbent,7431.0,15782.0,23213.0
1829,2018.0,1077.0,G,GOV,Republican Open Seat,10222.0,20692.0,30914.0
1873,2002.0,1079.0,G,GOV,Democratic Incumbent,6192.0,4100.0,10292.0
1874,2006.0,1079.0,G,GOV,Republican Incumbent,5558.0,4450.0,10008.0
1875,2010.0,1079.0,G,GOV,Republican Open Seat,5547.0,6036.0,11583.0
1876,2014.0,1079.0,G,GOV,Republican Incumbent,3300.0,5867.0,9167.0
1877,2018.0,1079.0,G,GOV,Republican Open Seat,3796.0,8181.0,11977.0
1920,2002.0,1081.0,G,GOV,Democratic Incumbent,11772.0,16515.0,28287.0
1921,2006.0,1081.0,G,GOV,Republican Incumbent,10469.0,16490.0,26959.0
1922,2010.0,1081.0,G,GOV,Republican Open Seat,13846.0,19704.0,33550.0
1923,2014.0,1081.0,G,GOV,Republican Incumbent,10139.0,16315.0,26454.0
1924,2018.0,1081.0,G,GOV,Republican Open Seat,20021.0,29238.0,49259.0
1968,2002.0,1083.0,G,GOV,Democratic Incumbent,9499.0,10744.0,20243.0
1969,2006.0,1083.0,G,GOV,Republican Incumbent,7214.0,11910.0,19124.0
1970,2010.0,1083.0,G,GOV,Republican Open Seat,8593.0,17346.0,25939.0
1971,2014.0,1083.0,G,GOV,Republican Incumbent,5379.0,17581.0,22960.0
1972,2018.0,1083.0,G,GOV,Republican Open Seat,10421.0,23213.0,33634.0
2016,2002.0,1085.0,G,GOV,Democratic Incumbent,4084.0,1347.0,5431.0
2017,2006.0,1085.0,G,GOV,Republican Incumbent,3068.0,1235.0,4303.0
2018,2010.0,1085.0,G,GOV,Republican Open Seat,4100.0,1231.0,5331.0
2019,2014.0,1085.0,G,GOV,Republican Incumbent,3127.0,1174.0,4301.0
2020,2018.0,1085.0,G,GOV,Republican Open Seat,3487.0,1555.0,5042.0
2064,2002.0,1087.0,G,GOV,Democratic Incumbent,5987.0,919.0,6906.0
2065,2006.0,1087.0,G,GOV,Republican Incumbent,4541.0,1274.0,5815.0
2066,2010.0,1087.0,G,GOV,Republican Open Seat,6634.0,919.0,7553.0
2067,2014.0,1087.0,G,GOV,Republican Incumbent,4830.0,829.0,5659.0
2068,2018.0,1087.0,G,GOV,Republican Open Seat,5882.0,1376.0,7258.0
2112,2002.0,1089.0,G,GOV,Democratic Incumbent,43431.0,43463.0,86894.0
2113,2006.0,1089.0,G,GOV,Republican Incumbent,29398.0,53489.0,82887.0
2114,2010.0,1089.0,G,GOV,Republican Open Seat,42090.0,65963.0,108053.0
2115,2014.0,1089.0,G,GOV,Republican Incumbent,26097.0,60277.0,86374.0
2116,2018.0,1089.0,G,GOV,Republican Open Seat,65522.0,75874.0,141396.0
2160,2002.0,1091.0,G,GOV,Democratic Incumbent,4909.0,2938.0,7847.0
2161,2006.0,1091.0,G,GOV,Republican Incumbent,4046.0,3159.0,7205.0
2162,2010.0,1091.0,G,GOV,Republican Open Seat,5084.0,3790.0,8874.0
2163,2014.0,1091.0,G,GOV,Republican Incumbent,3762.0,3152.0,6914.0
2164,2018.0,1091.0,G,GOV,Republican Open Seat,4735.0,4029.0,8764.0
2208,2002.0,1093.0,G,GOV,Democratic Incumbent,5303.0,4770.0,10073.0
2209,2006.0,1093.0,G,GOV,Republican Incumbent,4397.0,4205.0,8602.0
2210,2010.0,1093.0,G,GOV,Republican Open Seat,2994.0,5895.0,8889.0
2211,2014.0,1093.0,G,GOV,Republican Incumbent,2099.0,6061.0,8160.0
2212,2018.0,1093.0,G,GOV,Republican Open Seat,1877.0,8021.0,9898.0
2256,2002.0,1095.0,G,GOV,Democratic Incumbent,10426.0,12508.0,22934.0
2257,2006.0,1095.0,G,GOV,Republican Incumbent,8615.0,14599.0,23214.0
2258,2010.0,1095.0,G,GOV,Republican Open Seat,7521.0,18164.0,25685.0
2259,2014.0,1095.0,G,GOV,Republican Incumbent,3345.0,16523.0,19868.0
2260,2018.0,1095.0,G,GOV,Republican Open Seat,5193.0,22031.0,27224.0
2304,2002.0,1097.0,G,GOV,Democratic Incumbent,50782.0,56577.0,107359.0
2305,2006.0,1097.0,G,GOV,Republican Incumbent,34221.0,58750.0,92971.0
2306,2010.0,1097.0,G,GOV,Republican Open Seat,48000.0,61479.0,109479.0
2307,2014.0,1097.0,G,GOV,Republican Incumbent,34835.0,48651.0,83486.0
2308,2018.0,1097.0,G,GOV,Republican Open Seat,63656.0,69671.0,133327.0
2352,2002.0,1099.0,G,GOV,Democratic Incumbent,3755.0,4372.0,8127.0
2353,2006.0,1099.0,G,GOV,Republican Incumbent,3215.0,4841.0,8056.0
2354,2010.0,1099.0,G,GOV,Republican Open Seat,3413.0,4103.0,7516.0
2355,2014.0,1099.0,G,GOV,Republican Incumbent,2580.0,3500.0,6080.0
2356,2018.0,1099.0,G,GOV,Republican Open Seat,3881.0,5038.0,8919.0
2400,2002.0,1101.0,G,GOV,Democratic Incumbent,37109.0,32254.0,69363.0
2401,2006.0,1101.0,G,GOV,Republican Incumbent,30589.0,30659.0,61248.0
2402,2010.0,1101.0,G,GOV,Republican Open Seat,43439.0,30046.0,73485.0
2403,2014.0,1101.0,G,GOV,Republican Incumbent,33366.0,23811.0,57177.0
2404,2018.0,1101.0,G,GOV,Republican Open Seat,48722.0,28491.0,77213.0
2448,2002.0,1103.0,G,GOV,Democratic Incumbent,15983.0,19461.0,35444.0
2449,2006.0,1103.0,G,GOV,Republican Incumbent,11717.0,21156.0,32873.0
2450,2010.0,1103.0,G,GOV,Republican Open Seat,12169.0,26976.0,39145.0
2451,2014.0,1103.0,G,GOV,Republican Incumbent,6708.0,22428.0,29136.0
