,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,senate_raw_county_vote_totals_two_party
579,2008.0,1029,G,SEN,Republican Senator re-election,1326.0,4823.0,6149.0
580,2010.0,1029,G,SEN,Republican Senator re-election,1068.0,4009.0,5077.0
581,2014.0,1029,G,SEN,Republican Senator re-election,0.0,3222.0,3222.0
582,2016.0,1029,G,SEN,Republican Senator re-election,847.0,5554.0,6401.0
583,2017.0,1029,S,SEN,Republican open seat,600.0,2468.0,3068.0
584,2020.0,1029,G,SEN,Democratic Senator re-election,843.0,6321.0,7164.0
616,2002.0,1031,G,SEN,Republican Senator re-election,3664.0,9018.0,12682.0
617,2004.0,1031,G,SEN,Republican Senator re-election,3552.0,13731.0,17283.0
618,2008.0,1031,G,SEN,Republican Senator re-election,4616.0,15109.0,19725.0
619,2010.0,1031,G,SEN,Republican Senator re-election,3348.0,11759.0,15107.0
620,2014.0,1031,G,SEN,Republican Senator re-election,0.0,8888.0,8888.0
621,2016.0,1031,G,SEN,Republican Senator re-election,4498.0,15745.0,20243.0
622,2017.0,1031,S,SEN,Republican open seat,3730.0,8063.0,11793.0
623,2020.0,1031,G,SEN,Democratic Senator re-election,5753.0,16400.0,22153.0
655,2002.0,1033,G,SEN,Republican Senator re-election,8446.0,8377.0,16823.0
656,2004.0,1033,G,SEN,Republican Senator re-election,9390.0,13969.0,23359.0
657,2008.0,1033,G,SEN,Republican Senator re-election,9297.0,14864.0,24161.0
658,2010.0,1033,G,SEN,Republican Senator re-election,6781.0,9920.0,16701.0
659,2014.0,1033,G,SEN,Republican Senator re-election,0.0,10065.0,10065.0
660,2016.0,1033,G,SEN,Republican Senator re-election,8443.0,15866.0,24309.0
661,2017.0,1033,S,SEN,Republican open seat,6881.0,7771.0,14652.0
662,2020.0,1033,G,SEN,Democratic Senator re-election,9408.0,18320.0,27728.0
694,2002.0,1035,G,SEN,Republican Senator re-election,2345.0,2442.0,4787.0
695,2004.0,1035,G,SEN,Republican Senator re-election,2418.0,3357.0,5775.0
696,2008.0,1035,G,SEN,Republican Senator re-election,3234.0,3519.0,6753.0
697,2010.0,1035,G,SEN,Republican Senator re-election,2444.0,2752.0,5196.0
698,2014.0,1035,G,SEN,Republican Senator re-election,0.0,2372.0,2372.0
699,2016.0,1035,G,SEN,Republican Senator re-election,3006.0,3298.0,6304.0
700,2017.0,1035,S,SEN,Republican open seat,2259.0,1815.0,4074.0
701,2020.0,1035,G,SEN,Democratic Senator re-election,3098.0,3294.0,6392.0
733,2002.0,1037,G,SEN,Republican Senator re-election,2050.0,2205.0,4255.0
734,2004.0,1037,G,SEN,Republican Senator re-election,1768.0,3112.0,4880.0
735,2008.0,1037,G,SEN,Republican Senator re-election,2169.0,3250.0,5419.0
736,2010.0,1037,G,SEN,Republican Senator re-election,1911.0,2482.0,4393.0
737,2014.0,1037,G,SEN,Republican Senator re-election,0.0,2434.0,2434.0
738,2016.0,1037,G,SEN,Republican Senator re-election,1788.0,3378.0,5166.0
739,2017.0,1037,S,SEN,Republican open seat,1415.0,1867.0,3282.0
740,2020.0,1037,G,SEN,Democratic Senator re-election,1899.0,3559.0,5458.0
772,2002.0,1039,G,SEN,Republican Senator re-election,3149.0,8011.0,11160.0
773,2004.0,1039,G,SEN,Republican Senator re-election,2734.0,11500.0,14234.0
774,2008.0,1039,G,SEN,Republican Senator re-election,2979.0,12413.0,15392.0
775,2010.0,1039,G,SEN,Republican Senator re-election,2313.0,9785.0,12098.0
776,2014.0,1039,G,SEN,Republican Senator re-election,0.0,6496.0,6496.0
777,2016.0,1039,G,SEN,Republican Senator re-election,2740.0,12690.0,15430.0
778,2017.0,1039,S,SEN,Republican open seat,2107.0,6835.0,8942.0
779,2020.0,1039,G,SEN,Democratic Senator re-election,3214.0,14120.0,17334.0
811,2002.0,1041,G,SEN,Republican Senator re-election,1585.0,2722.0,4307.0
812,2004.0,1041,G,SEN,Republican Senator re-election,1424.0,3934.0,5358.0
813,2008.0,1041,G,SEN,Republican Senator re-election,1809.0,4319.0,6128.0
814,2010.0,1041,G,SEN,Republican Senator re-election,1572.0,3837.0,5409.0
815,2014.0,1041,G,SEN,Republican Senator re-election,0.0,3159.0,3159.0
816,2016.0,1041,G,SEN,Republican Senator re-election,1734.0,4392.0,6126.0
817,2017.0,1041,S,SEN,Republican open seat,1320.0,2347.0,3667.0
818,2020.0,1041,G,SEN,Democratic Senator re-election,1910.0,4671.0,6581.0
850,2002.0,1043,G,SEN,Republican Senator re-election,8638.0,16734.0,25372.0
851,2004.0,1043,G,SEN,Republican Senator re-election,7094.0,27495.0,34589.0
852,2008.0,1043,G,SEN,Republican Senator re-election,6112.0,28704.0,34816.0
853,2010.0,1043,G,SEN,Republican Senator re-election,5752.0,23918.0,29670.0
854,2014.0,1043,G,SEN,Republican Senator re-election,0.0,17298.0,17298.0
855,2016.0,1043,G,SEN,Republican Senator re-election,5207.0,32001.0,37208.0
856,2017.0,1043,S,SEN,Republican open seat,4161.0,16609.0,20770.0
857,2020.0,1043,G,SEN,Democratic Senator re-election,5693.0,35949.0,41642.0
889,2002.0,1045,G,SEN,Republican Senator re-election,3219.0,8557.0,11776.0
890,2004.0,1045,G,SEN,Republican Senator re-election,3796.0,13994.0,17790.0
891,2008.0,1045,G,SEN,Republican Senator re-election,4843.0,14026.0,18869.0
892,2010.0,1045,G,SEN,Republican Senator re-election,3274.0,10557.0,13831.0
893,2014.0,1045,G,SEN,Republican Senator re-election,0.0,8735.0,8735.0
894,2016.0,1045,G,SEN,Republican Senator re-election,4625.0,13652.0,18277.0
895,2017.0,1045,S,SEN,Republican open seat,3844.0,6991.0,10835.0
896,2020.0,1045,G,SEN,Democratic Senator re-election,5955.0,13653.0,19608.0
928,2002.0,1047,G,SEN,Republican Senator re-election,9185.0,6520.0,15705.0
929,2004.0,1047,G,SEN,Republican Senator re-election,9494.0,8642.0,18136.0
930,2008.0,1047,G,SEN,Republican Senator re-election,13168.0,7281.0,20449.0
931,2010.0,1047,G,SEN,Republican Senator re-election,10248.0,5372.0,15620.0
932,2014.0,1047,G,SEN,Republican Senator re-election,0.0,4825.0,4825.0
933,2016.0,1047,G,SEN,Republican Senator re-election,12388.0,6060.0,18448.0
934,2017.0,1047,S,SEN,Republican open seat,10503.0,3487.0,13990.0
935,2020.0,1047,G,SEN,Democratic Senator re-election,12503.0,5298.0,17801.0
967,2002.0,1049,G,SEN,Republican Senator re-election,6023.0,11006.0,17029.0
968,2004.0,1049,G,SEN,Republican Senator re-election,5753.0,16839.0,22592.0
969,2008.0,1049,G,SEN,Republican Senator re-election,5565.0,17777.0,23342.0
970,2010.0,1049,G,SEN,Republican Senator re-election,5410.0,14520.0,19930.0
