"GEO_ID","NAME","H001001","H001002","H001003",
"0500000US13301","Warren County, Georgia","2985","2315","670",
"0500000US13303","Washington County, Georgia","9047","7547","1500",
"0500000US13305","Wayne County, Georgia","12199","10562","1637",
"0500000US13307","Webster County, Georgia","1523","1119","404",
"0500000US13309","Wheeler County, Georgia","2625","2152","473",
"0500000US13311","White County, Georgia","16062","10646","5416",
"0500000US13313","Whitfield County, Georgia","39899","35180","4719",
"0500000US13315","Wilcox County, Georgia","3510","2891","619",
"0500000US13317","Wilkes County, Georgia","5158","4263","895",
"0500000US13319","Wilkinson County, Georgia","4487","3666","821",
"0500000US13321","Worth County, Georgia","9251","8214","1037",
"0500000US15001","Hawaii County, Hawaii","82324","67096","15228",
"0500000US15003","Honolulu County, Hawaii","336899","311047","25852",
"0500000US15005","Kalawao County, Hawaii","113","69","44",
"0500000US15007","Kauai County, Hawaii","29793","23240","6553",
"0500000US15009","Maui County, Hawaii","70379","53886","16493",
"0500000US16001","Ada County, Idaho","159471","148445","11026",
"0500000US16003","Adams County, Idaho","2636","1748","888",
"0500000US16005","Bannock County, Idaho","33191","30682","2509",
"0500000US16007","Bear Lake County, Idaho","3914","2281","1633",
"0500000US16009","Benewah County, Idaho","4629","3837","792",
"0500000US16011","Bingham County, Idaho","16141","14999","1142",
"0500000US16013","Blaine County, Idaho","15050","8823","6227",
"0500000US16015","Boise County, Idaho","5292","2974","2318",
"0500000US16017","Bonner County, Idaho","24669","17100","7569",
"0500000US16019","Bonneville County, Idaho","39731","36629","3102",
"0500000US16021","Boundary County, Idaho","5175","4421","754",
"0500000US16023","Butte County, Idaho","1354","1129","225",
"0500000US16025","Camas County, Idaho","831","487","344",
"0500000US16027","Canyon County, Idaho","69409","63604","5805",
"0500000US16029","Caribou County, Idaho","3226","2606","620",
"0500000US16031","Cassia County, Idaho","8372","7666","706",
"0500000US16033","Clark County, Idaho","531","345","186",
"0500000US16035","Clearwater County, Idaho","4453","3660","793",
"0500000US16037","Custer County, Idaho","3103","1936","1167",
"0500000US16039","Elmore County, Idaho","12162","10140","2022",
"0500000US16041","Franklin County, Idaho","4528","4079","449",
"0500000US16043","Fremont County, Idaho","8531","4436","4095",
"0500000US16045","Gem County, Idaho","7099","6495","604",
"0500000US16047","Gooding County, Idaho","6093","5531","562",
"0500000US16049","Idaho County, Idaho","8744","6834","1910",
"0500000US16051","Jefferson County, Idaho","8722","8146","576",
"0500000US16053","Jerome County, Idaho","8101","7540","561",
"0500000US16055","Kootenai County, Idaho","63177","54200","8977",
"0500000US16057","Latah County, Idaho","15988","14708","1280",
"0500000US16059","Lemhi County, Idaho","4729","3576","1153",
"0500000US16061","Lewis County, Idaho","1880","1657","223",
"0500000US16063","Lincoln County, Idaho","1976","1705","271",
"0500000US16065","Madison County, Idaho","11280","10611","669",
"0500000US16067","Minidoka County, Idaho","7665","7170","495",
"0500000US16069","Nez Perce County, Idaho","17438","16241","1197",
"0500000US16071","Oneida County, Idaho","1906","1545","361",
"0500000US16073","Owyhee County, Idaho","4781","4076","705",
"0500000US16075","Payette County, Idaho","8945","8262","683",
"0500000US16077","Power County, Idaho","2944","2641","303",
"0500000US16079","Shoshone County, Idaho","7061","5605","1456",
"0500000US16081","Teton County, Idaho","5478","3651","1827",
"0500000US16083","Twin Falls County, Idaho","31072","28760","2312",
"0500000US16085","Valley County, Idaho","11789","4393","7396",
"0500000US16087","Washington County, Idaho","4529","4034","495",
"0500000US17001","Adams County, Illinois","29842","27375","2467",
"0500000US17003","Alexander County, Illinois","4006","3329","677",
"0500000US17005","Bond County, Illinois","7089","6427","662",
"0500000US17007","Boone County, Illinois","19970","18505","1465",
"0500000US17009","Brown County, Illinois","2462","2099","363",
"0500000US17011","Bureau County, Illinois","15720","14262","1458",
"0500000US17013","Calhoun County, Illinois","2835","2085","750",
"0500000US17015","Carroll County, Illinois","8437","6622","1815",
"0500000US17017","Cass County, Illinois","5836","5270","566",
"0500000US17019","Champaign County, Illinois","87569","80665","6904",
"0500000US17021","Christian County, Illinois","15563","14055","1508",
"0500000US17023","Clark County, Illinois","7772","6782","990",
"0500000US17025","Clay County, Illinois","6404","5697","707",
"0500000US17027","Clinton County, Illinois","15311","14005","1306",
"0500000US17029","Coles County, Illinois","23425","21463","1962",
"0500000US17031","Cook County, Illinois","2180359","1966356","214003",
"0500000US17033","Crawford County, Illinois","8661","7763","898",
"0500000US17035","Cumberland County, Illinois","4874","4377","497",
"0500000US17037","DeKalb County, Illinois","41079","38484","2595",
"0500000US17039","De Witt County, Illinois","7521","6811","710",
"0500000US17041","Douglas County, Illinois","8390","7720","670",
"0500000US17043","DuPage County, Illinois","356179","337132","19047",
"0500000US17045","Edgar County, Illinois","8803","7839","964",
"0500000US17047","Edwards County, Illinois","3187","2840","347",
"0500000US17049","Effingham County, Illinois","14570","13515","1055",
"0500000US17051","Fayette County, Illinois","9302","8311","991",
"0500000US17053","Ford County, Illinois","6282","5676","606",
"0500000US17055","Franklin County, Illinois","18525","16617","1908",
"0500000US17057","Fulton County, Illinois","16195","14536","1659",
"0500000US17059","Gallatin County, Illinois","2746","2403","343",
"0500000US17061","Greene County, Illinois","6389","5570","819",
"0500000US17063","Grundy County, Illinois","19996","18546","1450",
"0500000US17065","Hamilton County, Illinois","4104","3489","615",
"0500000US17067","Hancock County, Illinois","9274","8040","1234",
"0500000US17069","Hardin County, Illinois","2488","1915","573",
"0500000US17071","Henderson County, Illinois","3827","3149","678",
"0500000US17073","Henry County, Illinois","22161","20373","1788",
"0500000US17075","Iroquois County, Illinois","13452","11956","1496",
"0500000US17077","Jackson County, Illinois","28578","25538","3040",
"0500000US17079","Jasper County, Illinois","4345","3940","405",
"0500000US17081","Jefferson County, Illinois","16954","15365","1589",
"0500000US17083","Jersey County, Illinois","9848","8828","1020",
"0500000US17085","Jo Daviess County, Illinois","13574","9753","3821",
"0500000US17087","Johnson County, Illinois","5598","4584","1014",
"0500000US17089","Kane County, Illinois","182047","170479","11568",
"0500000US17091","Kankakee County, Illinois","45246","41511","3735",
"0500000US17093","Kendall County, Illinois","40321","38022","2299",
"0500000US17095","Knox County, Illinois","24077","21535","2542",
"0500000US17097","Lake County, Illinois","260310","241712","18598",
"0500000US17099","LaSalle County, Illinois","49978","45347","4631",
